lote,combo,backbone,size,dim,lr,weight_power,modo,encoder_lr,augment,best_epoch,best_miou,top5,sigma,iou_background,iou_track,iou_kart,iou_pickup,iou_nitro,iou_bomb,iou_projectile,minutos,estado
20260909_165356,base_plus_s448_d256_lr0.0003_p0.20,base_plus,448,256,0.0003,0.2,none,,1,11,0.5320108532905579,,,0.859529972076416,0.8572505116462708,0.7744207382202148,0.6336561441421509,0.4615330100059509,0.13768534362316132,0.0,3.35,ok
20260909_165356,small_s448_d256_lr0.001_p0.30,small,448,256,0.001,0.3,none,,1,36,0.5312327742576599,,,0.7576118111610413,0.7086731195449829,0.6949150562286377,0.6821332573890686,0.42272183299064636,0.20805290341377258,0.2445218414068222,4.4,ok
20260909_165356,large_s448_d256_lr0.0003_p0.30,large,448,256,0.0003,0.3,none,,1,20,0.5303269028663635,,,0.7369626760482788,0.6828802824020386,0.7945712804794312,0.4672435224056244,0.614072322845459,0.17408983409404755,0.24246834218502045,10.27,ok
20260909_165356,large_s448_d128_lr0.001_p0.20,large,448,128,0.001,0.2,none,,1,16,0.529874861240387,,,0.814915120601654,0.7971394658088684,0.8027289509773254,0.6170338988304138,0.46034640073776245,0.15605206787586212,0.06090783700346947,9.53,ok
20260909_165356,large_s448_d256_lr0.001_p0.20,large,448,256,0.001,0.2,none,,1,27,0.5287293791770935,,,0.7738841772079468,0.7402553558349609,0.7623456716537476,0.48177748918533325,0.6154656410217285,0.192674458026886,0.1347031593322754,12.7,ok
20260909_183741,large_s448_d256_lr0.001_p0.30,large,448,256,0.001,0.3,none,,1,26,0.5265467166900635,0.5179375052452088,0.016929000680003144,0.8029133081436157,0.7752617001533508,0.7498778700828552,0.4532569348812103,0.5234112739562988,0.27846720814704895,0.10263872891664505,10.06,ok
20260909_183741,large_s1024_d512_lr0.001_p0.30,large,1024,512,0.001,0.3,none,,1,8,0.5254281163215637,0.47768829464912416,0.036315417604987986,0.7937030792236328,0.7633916735649109,0.7501186728477478,0.5146355628967285,0.6428741812705994,0.20896774530410767,0.004305791109800339,28.2,ok
20260909_183741,large_s448_d512_lr0.001_p0.30,large,448,512,0.001,0.3,none,,1,29,0.5223435163497925,0.5096015930175781,0.022498431772247758,0.7532857060432434,0.7032288908958435,0.7639241218566895,0.5734027624130249,0.4660721719264984,0.16055448353290558,0.2359362542629242,10.75,ok
20260909_183741,base_plus_s448_d256_lr0.001_p0.30,base_plus,448,256,0.001,0.3,none,,1,15,0.5193098783493042,0.49964694380760194,0.01950780689499564,0.8467198610305786,0.8346087336540222,0.7602488994598389,0.5217769145965576,0.5520200729370117,0.11979445815086365,0.0,4.18,ok
20260909_183741,base_plus_s1024_d256_lr0.001_p0.30,base_plus,1024,256,0.001,0.3,none,,1,18,0.5173391699790955,0.5002192616462707,0.032375665449844625,0.7419992685317993,0.6993127465248108,0.8198885917663574,0.3656809628009796,0.5154452919960022,0.3953254222869873,0.08372212946414948,21.63,ok
20260909_165356,large_s448_d128_lr0.0003_p0.30,large,448,128,0.0003,0.3,none,,1,13,0.5133870840072632,,,0.742401659488678,0.693878710269928,0.7867671251296997,0.5122473239898682,0.4989972710609436,0.21736028790473938,0.1420571357011795,7.76,ok
20260909_165356,base_plus_s448_d256_lr0.001_p0.20,base_plus,448,256,0.001,0.2,none,,1,20,0.5127879977226257,,,0.8309155106544495,0.8222025036811829,0.7902571558952332,0.588980495929718,0.4382953643798828,0.11886519193649292,0.0,4.74,ok
20260909_165356,large_s448_d256_lr0.0003_p0.20,large,448,256,0.0003,0.2,none,,1,8,0.506877064704895,,,0.7723680138587952,0.7373083829879761,0.7426597476005554,0.41361477971076965,0.5381290912628174,0.18147292733192444,0.16258637607097626,6.36,ok
20260909_165356,small_s448_d256_lr0.0003_p0.20,small,448,256,0.0003,0.2,none,,1,7,0.506632387638092,,,0.7887502908706665,0.7557506561279297,0.7051377296447754,0.5701218247413635,0.43255844712257385,0.1616712361574173,0.13243646919727325,2.1,ok
20260909_193955,large_s448_d256_lr0.001_p0.30_none_el0.0001,large,448,256,0.001,0.3,none,0.0001,1,19,0.5064216256141663,0.4983444333076477,0.01593679794340389,0.7332607507705688,0.6715980768203735,0.7528761625289917,0.4898281693458557,0.5204876065254211,0.17385505139827728,0.2030453085899353,16.34,ok
20260909_165356,base_plus_s448_d256_lr0.0003_p0.30,base_plus,448,256,0.0003,0.3,none,,1,9,0.5028064250946045,,,0.7941115498542786,0.7672811150550842,0.766365647315979,0.5560385584831238,0.46526455879211426,0.1704861968755722,9.739693632582203e-05,3.02,ok
20260909_165356,base_plus_s448_d256_lr0.001_p0.30,base_plus,448,256,0.001,0.3,none,,1,14,0.5027174353599548,,,0.7925200462341309,0.778682291507721,0.7738049030303955,0.5261074900627136,0.5157766938209534,0.13213074207305908,0.0,3.89,ok
20260909_165356,large_s448_d256_lr0.001_p0.30,large,448,256,0.001,0.3,none,,1,15,0.5011939406394958,,,0.8161747455596924,0.7927261590957642,0.7461910247802734,0.3879458010196686,0.4290611743927002,0.20351077616214752,0.13274796307086945,8.75,ok
20260909_183741,base_plus_s1024_d512_lr0.001_p0.30,base_plus,1024,512,0.001,0.3,none,,1,28,0.5011700987815857,0.49155985116958617,0.01867680045640519,0.7137371897697449,0.6454607248306274,0.7965772747993469,0.43795809149742126,0.6379538774490356,0.24463436007499695,0.03186945989727974,27.07,ok
20260909_165356,base_plus_s448_d128_lr0.001_p0.30,base_plus,448,128,0.001,0.3,none,,1,39,0.5007814168930054,,,0.8041902184486389,0.7869079113006592,0.7588038444519043,0.5786155462265015,0.41588786244392395,0.16106456518173218,0.0,6.6,ok
20260909_165356,large_s448_d128_lr0.0003_p0.20,large,448,128,0.0003,0.2,none,,1,10,0.4990616738796234,,,0.7484649419784546,0.6991020441055298,0.7683650255203247,0.5188925862312317,0.5370803475379944,0.12981362640857697,0.09171304851770401,6.9,ok
20260909_165356,base_plus_s448_d128_lr0.0003_p0.30,base_plus,448,128,0.0003,0.3,none,,1,10,0.4980478882789612,,,0.822930634021759,0.8127022981643677,0.7634341716766357,0.5997695922851562,0.38422268629074097,0.10327591001987457,0.0,3.15,ok
20260909_165356,small_s448_d256_lr0.0003_p0.30,small,448,256,0.0003,0.3,none,,1,3,0.4922810196876526,,,0.8778976798057556,0.8729571104049683,0.7573197484016418,0.4531837999820709,0.3104700446128845,0.174138605594635,0.0,1.77,ok
20260909_165356,small_s448_d256_lr0.001_p0.20,small,448,256,0.001,0.2,none,,1,37,0.4910590946674347,,,0.6970428228378296,0.611198365688324,0.7463597655296326,0.6424875855445862,0.4554310441017151,0.24072779715061188,0.04416632279753685,4.4,ok
20260909_165356,small_s448_d128_lr0.0003_p0.20,small,448,128,0.0003,0.2,none,,1,13,0.48903533816337585,,,0.700340986251831,0.6156705617904663,0.6910707354545593,0.5613659024238586,0.27651336789131165,0.14378632605075836,0.4344993233680725,3.75,ok
20260909_165356,base_plus_s448_d128_lr0.001_p0.20,base_plus,448,128,0.001,0.2,none,,1,23,0.4879249632358551,,,0.7965205907821655,0.7747899889945984,0.7772794365882874,0.45181170105934143,0.4664234519004822,0.14864951372146606,0.0,5.36,ok
20260909_193955,large_s448_d256_lr0.001_p0.30_neck_el0.0001,large,448,256,0.001,0.3,neck,0.0001,1,15,0.48719456791877747,0.4815554738044739,0.032957188914409664,0.7101271748542786,0.6337554454803467,0.7617773413658142,0.4286009669303894,0.4348065257072449,0.32062986493110657,0.1206645518541336,14.93,ok
20260909_165356,small_s448_d128_lr0.0003_p0.30,small,448,128,0.0003,0.3,none,,1,9,0.48682406544685364,,,0.7565003633499146,0.7080449461936951,0.7480887770652771,0.5539360046386719,0.41654446721076965,0.1708701252937317,0.05378364399075508,2.14,ok
20260909_183741,base_plus_s448_d512_lr0.001_p0.30,base_plus,448,512,0.001,0.3,none,,1,19,0.4865531325340271,0.4818423926830292,0.010430717939630194,0.7786519527435303,0.750599205493927,0.7843707203865051,0.4733760356903076,0.494476318359375,0.1243976503610611,0.0,5.6,ok
20260909_165356,large_s448_d128_lr0.001_p0.30,large,448,128,0.001,0.3,none,,1,19,0.48493674397468567,,,0.7340539693832397,0.6769881248474121,0.7670078873634338,0.43048930168151855,0.3987830579280853,0.22953571379184723,0.15769925713539124,9.83,ok
20260909_165356,small_s448_d128_lr0.001_p0.30,small,448,128,0.001,0.3,none,,1,15,0.4749319851398468,,,0.7986592650413513,0.7653312683105469,0.7155342698097229,0.5322455167770386,0.36028510332107544,0.12740232050418854,0.0250663124024868,3.82,ok
20260909_165356,base_plus_s448_d128_lr0.0003_p0.20,base_plus,448,128,0.0003,0.2,none,,1,7,0.46705517172813416,,,0.8327006697654724,0.8270177245140076,0.772462010383606,0.46750980615615845,0.2913132607936859,0.07838304340839386,0.0,2.91,ok
20260909_165356,small_s448_d128_lr0.001_p0.20,small,448,128,0.001,0.2,none,,1,9,0.46486717462539673,,,0.742702305316925,0.6932723522186279,0.7383458018302917,0.6475764513015747,0.3368223309516907,0.08797013014554977,0.007380781229585409,3.1,ok
