lote,timestamp,backbone,size,dim,lr,weight_power,augment,epoch,train_loss,val_loss,val_miou,iou_background,iou_track,iou_kart,iou_pickup,iou_nitro,iou_bomb,iou_projectile,notes
corrida_inicial,2026-09-09T21:44:13,small,448,128,1.00e-03,0.3,1,0,0.3566,,0.3574,0.7761,0.7420,0.7022,0.2813,0.0000,0.0000,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:44:20,small,448,128,1.00e-03,0.3,1,1,0.2204,,0.3835,0.7816,0.7509,0.7224,0.4296,0.0000,0.0000,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:44:26,small,448,128,1.00e-03,0.3,1,2,0.2055,,0.3883,0.8610,0.8410,0.5617,0.4547,0.0000,0.0000,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:44:32,small,448,128,1.00e-03,0.3,1,3,0.1887,,0.3739,0.7630,0.7220,0.7056,0.4264,0.0004,0.0000,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:44:38,small,448,128,1.00e-03,0.3,1,4,0.1701,,0.3694,0.7731,0.7387,0.7102,0.3209,0.0255,0.0172,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:44:44,small,448,128,1.00e-03,0.3,1,5,0.1639,,0.4086,0.7832,0.7480,0.7058,0.4821,0.0748,0.0665,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:44:50,small,448,128,1.00e-03,0.3,1,6,0.1457,,0.3971,0.7542,0.7018,0.6528,0.4547,0.1277,0.0882,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:44:57,small,448,128,1.00e-03,0.3,1,7,0.1433,,0.2981,0.6807,0.5552,0.5642,0.1102,0.0497,0.1264,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:03,small,448,128,1.00e-03,0.3,1,8,0.1512,,0.4060,0.7835,0.7355,0.5387,0.4781,0.1908,0.1101,0.0055,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:09,small,448,128,1.00e-03,0.3,1,9,0.1301,,0.3904,0.7259,0.6520,0.6589,0.3070,0.1876,0.1561,0.0454,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:16,small,448,128,1.00e-03,0.3,1,10,0.1329,,0.4226,0.7316,0.6777,0.7196,0.4745,0.2238,0.1311,0.0000,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:22,small,448,128,1.00e-03,0.3,1,11,0.1225,,0.4450,0.8143,0.7854,0.6523,0.4767,0.2230,0.1247,0.0389,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:28,small,448,128,1.00e-03,0.3,1,12,0.1132,,0.3934,0.6954,0.6060,0.7020,0.4703,0.1709,0.0903,0.0188,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:34,small,448,128,1.00e-03,0.3,1,13,0.1114,,0.4449,0.7248,0.6562,0.7152,0.4364,0.2641,0.1307,0.1868,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:41,small,448,128,1.00e-03,0.3,1,14,0.1076,,0.4475,0.7532,0.7011,0.7275,0.4605,0.3524,0.1005,0.0374,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:47,small,448,128,1.00e-03,0.3,1,15,0.1109,,0.4232,0.7265,0.6506,0.6662,0.4469,0.3212,0.1226,0.0283,corrida 1 baseline
corrida_inicial,2026-09-09T21:45:53,small,448,128,1.00e-03,0.3,1,16,0.1064,,0.4709,0.7250,0.6526,0.6315,0.5759,0.2651,0.1346,0.3115,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:00,small,448,128,1.00e-03,0.3,1,17,0.0968,,0.4451,0.6863,0.5845,0.6772,0.3957,0.3666,0.1345,0.2711,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:06,small,448,128,1.00e-03,0.3,1,18,0.1010,,0.4133,0.6799,0.5718,0.6814,0.4410,0.3628,0.1167,0.0395,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:12,small,448,128,1.00e-03,0.3,1,19,0.0927,,0.4395,0.7061,0.6289,0.7514,0.5064,0.2336,0.1811,0.0694,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:19,small,448,128,1.00e-03,0.3,1,20,0.0934,,0.4534,0.7249,0.6590,0.7143,0.4843,0.3473,0.1441,0.1000,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:25,small,448,128,5.00e-04,0.3,1,21,0.0980,,0.4183,0.7036,0.6199,0.7264,0.4704,0.2137,0.1313,0.0627,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:31,small,448,128,5.00e-04,0.3,1,22,0.0855,,0.4601,0.7094,0.6313,0.7542,0.5394,0.3484,0.1538,0.0846,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:38,small,448,128,5.00e-04,0.3,1,23,0.0810,,0.4549,0.7042,0.6221,0.7687,0.4896,0.3379,0.1762,0.0854,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:44,small,448,128,5.00e-04,0.3,1,24,0.0778,,0.4777,0.7089,0.6299,0.7531,0.5952,0.3816,0.1792,0.0957,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:50,small,448,128,5.00e-04,0.3,1,25,0.0768,,0.4531,0.6885,0.5934,0.7640,0.4865,0.3431,0.1976,0.0986,corrida 1 baseline
corrida_inicial,2026-09-09T21:46:57,small,448,128,5.00e-04,0.3,1,26,0.0764,,0.4562,0.6910,0.6004,0.7511,0.5511,0.3296,0.1652,0.1050,corrida 1 baseline
corrida_inicial,2026-09-09T21:47:03,small,448,128,5.00e-04,0.3,1,27,0.0771,,0.4459,0.7058,0.6233,0.7399,0.4706,0.2941,0.1722,0.1158,corrida 1 baseline
corrida_inicial,2026-09-09T21:47:09,small,448,128,5.00e-04,0.3,1,28,0.0742,,0.4517,0.6986,0.6144,0.7747,0.4647,0.2975,0.1974,0.1143,corrida 1 baseline
corrida_inicial,2026-09-09T21:47:16,small,448,128,2.50e-04,0.3,1,29,0.0743,,0.4530,0.6925,0.6023,0.7591,0.4816,0.3238,0.1901,0.1216,corrida 1 baseline
corrida_inicial,2026-09-09T21:47:22,small,448,128,2.50e-04,0.3,1,30,0.0674,,0.4651,0.6915,0.6001,0.7673,0.5591,0.3163,0.1979,0.1238,corrida 1 baseline
corrida_inicial,2026-09-09T21:47:28,small,448,128,2.50e-04,0.3,1,31,0.0647,,0.4512,0.6749,0.5654,0.7445,0.5100,0.3309,0.1863,0.1466,corrida 1 baseline
corrida_inicial,2026-09-09T21:47:35,small,448,128,2.50e-04,0.3,1,32,0.0654,,0.4570,0.7014,0.6205,0.7633,0.5058,0.3060,0.2007,0.1012,corrida 1 baseline
